timestamp_ms,temp,hum,ldr
1180026,25.30,63.00,2380
1185026,25.30,63.00,2739
1190025,24.80,64.00,2747
1195025,24.80,64.00,2732
1200025,24.80,64.00,2242
1205025,24.80,64.00,2218
1210025,24.80,65.00,2228
1215025,24.80,65.00,2229
1220025,24.80,66.00,2229
1225025,24.60,66.00,2234
1230025,24.50,67.00,2227
1235025,24.50,67.00,2224
1240025,24.50,68.00,2288
1245025,24.50,68.00,2306
1250025,24.50,68.00,2386
1255025,24.50,68.00,2315
1260025,24.50,69.00,2293
1265025,24.50,69.00,2427
1270025,24.50,69.00,2234
1275025,24.50,69.00,2237
1280025,24.50,69.00,2249
1285025,24.50,69.00,2247
1290025,24.50,69.00,2251
1295025,24.50,69.00,2249
1300025,24.50,69.00,2256
1305025,24.50,69.00,2471
1310025,24.50,69.00,2555
1315025,24.50,69.00,3056
1320025,24.50,69.00,3114
1325025,24.50,69.00,2214
1330025,24.50,70.00,2777
1335025,24.50,70.00,2147
1340025,24.50,71.00,2249
1345025,24.80,72.00,2512
1350025,24.80,72.00,2394
1355025,24.80,73.00,2608
1360025,24.80,73.00,2559
1365025,24.80,73.00,2534
1370025,24.80,74.00,2671
1375025,25.30,75.00,2619
1380025,25.30,76.00,2624
1385025,25.30,77.00,2643
1390025,25.30,77.00,2651
1395025,25.30,78.00,3461
1400026,25.30,79.00,2720
1405026,25.30,79.00,3621
1410026,25.30,79.00,2669
1415025,25.30,80.00,2689
1420025,25.80,80.00,2688
